cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aanlenkp-1,13,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanlfake-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aanmbfcd-1,22,Islets,endocrine/islet,pancreatic acinar epithelium,acinar epithelial
aanmdpco-1,10,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aannagcj-1,8,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aannbgoh-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aanndjab-1,8,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aannlbfe-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanofgoc-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanogpgn-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanoioea-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanolkee-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanondmo-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanpbkbc-1,12,Islets,endocrine/islet,pancreatic ductal epithelium,ductal/tumor epithelial
aanpenll-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aanpmikg-1,6,Islets,endocrine/islet,Islets,endocrine/islet
aanpmiob-1,22,Islets,endocrine/islet,pancreatic acinar epithelium,acinar epithelial
aaoajkcj-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaoaohpa-1,6,Islets,endocrine/islet,Islets,endocrine/islet
aaobgdfg-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaobhecn-1,14,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaoccbca-1,21,Islets,endocrine/islet,Islets,endocrine/islet
aaocdedh-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaocknnl-1,10,Islets,endocrine/islet,pancreatic ductal epithelium,ductal/tumor epithelial
aaocpkgl-1,4,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaodbdfd-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaodmoje-1,6,Islets,endocrine/islet,Islets,endocrine/islet
aaoeijcm-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaoenomj-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaofadma-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaofeenf-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaoffelm-1,13,Islets,endocrine/islet,pancreatic acinar epithelium,acinar epithelial
aaofhbaf-1,14,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaofkkbb-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaofnbbl-1,8,Islets,endocrine/islet,pancreatic ductal epithelium,ductal/tumor epithelial
aaogddja-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaogoifn-1,5,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaohcnfg-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaohdbnl-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaohfijk-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaohgkni-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaoihfng-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaojaaio-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaojafik-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaojbemo-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
