radius,K,L,L_minus_r,radius_um,imageid,pathology,phenotype,fiber_type,cell_fiber_pair
61.53846153846153,25557.812069497973,90.1959214762431,28.657459937781567,20.0,S00292623,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
92.3076923076923,55802.23161398676,133.2756616710255,40.96796936333318,30.0,S00292623,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
123.07692307692307,97228.61418704044,175.92279305332931,52.84586997640625,40.0,S00292623,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
153.84615384615384,149689.0324365072,218.2830705250097,64.43691667885585,50.0,S00292623,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
30.769230769230766,5849.42949004221,43.15010121906373,12.380870449832962,10.0,S00292623,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
61.53846153846153,22519.41185533781,84.66493621682169,23.126474678360154,20.0,S00292623,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
92.3076923076923,50148.15770121554,126.34339860159179,34.03570629389948,30.0,S00292623,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
123.07692307692307,88280.9095520776,167.6325931068399,44.555670029916826,40.0,S00292623,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
153.84615384615384,137002.37713377064,208.8281855314538,54.98203168529997,50.0,S00292623,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
30.769230769230766,5967.695857186286,43.58413230844967,12.814901539218901,10.0,S00292623,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
61.53846153846153,23402.361461933036,86.30876556514892,24.770304026687384,20.0,S00292623,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
92.3076923076923,51292.205365926086,127.77642995538555,35.468737647693246,30.0,S00292623,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
123.07692307692307,89730.91196252787,169.00365787153837,45.9267347946153,40.0,S00292623,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
153.84615384615384,138367.1647766293,209.86575821610987,56.01960436995603,50.0,S00292623,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
30.769230769230766,5942.559648317596,43.49224626639053,12.723015497159764,10.0,S00292623,OA,B cells,COL6A1,B cells vs COL6A1
61.53846153846153,23347.107376975557,86.20681580876207,24.66835427030054,20.0,S00292623,OA,B cells,COL6A1,B cells vs COL6A1
