imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i,cell_fiber_pair
S00293087,OA,B cells,COL6A1,eccentricity,is_B_cells,-0.006980873698416061,B cells vs COL6A1
S00293087,OA,Monocytes,CHP,alignment_score,is_Monocytes,0.028207921051009572,Monocytes vs CHP
S00293087,OA,Monocytes,CHP,area,is_Monocytes,-0.03397250842196404,Monocytes vs CHP
S00293087,OA,Monocytes,CHP,major_axis_length,is_Monocytes,-0.02399830674920545,Monocytes vs CHP
S00293087,OA,Monocytes,CHP,eccentricity,is_Monocytes,-0.01502006497775243,Monocytes vs CHP
S00293087,OA,Macrophages,CHP,alignment_score,is_Macrophages,-0.0366275158424585,Macrophages vs CHP
S00293087,OA,Macrophages,CHP,area,is_Macrophages,-0.02700476877689147,Macrophages vs CHP
S00293087,OA,Macrophages,CHP,major_axis_length,is_Macrophages,-0.016451617846649898,Macrophages vs CHP
S00293087,OA,Macrophages,CHP,eccentricity,is_Macrophages,0.036891631607133955,Macrophages vs CHP
S00293087,OA,Vascular cells,COL4A1,alignment_score,is_Vascular_cells,-0.02698632464463467,Vascular cells vs COL4A1
S00293087,OA,Vascular cells,COL4A1,area,is_Vascular_cells,0.01928260019283733,Vascular cells vs COL4A1
S00293087,OA,Vascular cells,COL4A1,major_axis_length,is_Vascular_cells,0.03194457705490053,Vascular cells vs COL4A1
S00293087,OA,Vascular cells,COL4A1,eccentricity,is_Vascular_cells,0.012617071148764819,Vascular cells vs COL4A1
