imageid,pathology,phenotype,fiber_type,n_links,median_distance_px,mean_distance_px,median_distance_um,mean_distance_um
JRP141,RA,Myeloid cells,COL4A1,4655,101.8626496409795,96.46655715054332,33.10536113331834,31.35163107392658
JRP141,RA,Myeloid cells,COL6A1,58784,108.0943191588315,102.07046470774358,35.13065372662024,33.17290103001667
JRP141,RA,Myeloid cells,FN,49862,108.2326467596996,102.38937950312724,35.175610196902376,33.276548338516356
JRP141,RA,Myeloid cells,MFAP5,39845,108.58961733766934,102.5268824825233,35.29162563474254,33.321236806820075
JRP141,RA,Neutrophils,CHP,36734,108.72604971207159,102.3843852268066,35.33596615642327,33.27492519871215
JRP141,RA,Neutrophils,COL1A1bis,37084,108.24686535287688,102.16162578245053,35.180231239684986,33.202528379296425
JRP141,RA,Neutrophils,COL4A1,4775,100.70226271297675,94.42181135981153,32.72823538171745,30.687088691938747
JRP141,RA,Neutrophils,COL6A1,53764,108.6417902239685,102.45087812610463,35.30858182278976,33.296535390984005
JRP141,RA,Neutrophils,FN,46689,109.73474625306497,103.14446963381864,35.66379253224611,33.52195263099106
JRP141,RA,Neutrophils,MFAP5,26310,111.44990455218212,105.02386428854258,36.22121897945919,34.13275589377634
JRP141,RA,Non-immune cells,CHP,436849,107.87599142690263,101.78943258988755,35.059697213743355,33.081565591713456
JRP141,RA,Non-immune cells,COL1A1bis,505229,107.91025481720183,101.85464676262094,35.0708328155906,33.10276019785181
JRP141,RA,Non-immune cells,COL4A1,48828,103.22135085399793,97.18238820021664,33.54693902754933,31.584276165070406
JRP141,RA,Non-immune cells,COL6A1,694548,107.95082693691835,101.85194965027499,35.084018754498466,33.10188363633937
JRP141,RA,Non-immune cells,FN,652322,107.95346953983199,101.99133938727844,35.084877600445395,33.147185300865495
JRP141,RA,Non-immune cells,MFAP5,374901,107.7825676142945,101.82745705465159,35.029334474645715,33.093923542761765
JRP141,RA,Other Immune cells,CHP,35211,107.72550502737349,101.589948973605,35.01078913389638,33.01673341642163
JRP141,RA,Other Immune cells,COL1A1bis,41105,108.16187029217444,102.01737446738572,35.1526078449567,33.15564670190036
