,annotation,annotation_level2,annotated_clusters_update3
exp_30943,stroma-fib,stroma-fib,myCAFs
exp_30944,tumour,tumour,tumour
exp_30945,tumour,tumour,tumour
exp_30946,stroma-fib,stroma-immune,CD4 T cells
exp_30947,stroma-immune,stroma-immune,other immune cells
exp_30948,tumour,tumour,tumour
exp_30949,tumour,tumour,tumour
exp_30950,tumour,tumour,tumour
exp_30951,tumour,tumour,tumour
exp_30952,stroma-immune,stroma-immune,other immune cells
exp_30953,stroma-fib,stroma-immune,other immune cells
exp_30954,tumour,stroma-immune,Unknown
exp_30955,stroma-immune,vessel,vessel
exp_30956,stroma-fib,stroma-immune,T cells
exp_30957,tumour,tumour,tumour
exp_30958,tumour,tumour,tumour
exp_30959,tumour,tumour,tumour
exp_30960,tumour,tumour,tumour
exp_30961,tumour,tumour,tumour
exp_30962,stroma-fib,stroma-immune,other immune cells
exp_30963,stroma-immune,vessel,vessel
exp_30964,tumour,tumour,tumour
exp_30965,stroma-fib,stroma-immune,other immune cells
exp_30966,tumour,tumour,tumour
exp_30967,stroma-fib,stroma-fib,myCAFs
exp_30968,tumour,tumour,tumour
exp_30969,tumour,tumour,tumour
exp_30970,tumour,tumour,tumour
exp_30971,stroma-fib,stroma-fib,myCAFs
exp_30972,tumour,stroma-immune,Unknown
exp_30973,stroma-fib,stroma-immune,Unknown
exp_30974,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30975,tumour,tumour,tumour
exp_30976,tumour,tumour,tumour
exp_30977,stroma-fib,stroma-fib,myCAFs
exp_30978,tumour,tumour,tumour
exp_30979,tumour,tumour,tumour
exp_30980,stroma-fib,stroma-fib,myCAFs
exp_30981,tumour,tumour,tumour
exp_30982,tumour,tumour,tumour
exp_30983,tumour,tumour,tumour
exp_30984,tumour,tumour,tumour
exp_30985,stroma-immune,stroma-immune,CD4 T cells
exp_30986,tumour,tumour,tumour
exp_30987,stroma-fib,stroma-immune,CD4 T cells
exp_30988,stroma-fib,stroma-fib,myCAFs
exp_30989,stroma-immune,stroma-immune,other immune cells
exp_30990,tumour,tumour,tumour
exp_30991,tumour,tumour,tumour
exp_30992,tumour,tumour,tumour
exp_30993,stroma-fib,stroma-immune,Unknown
exp_30994,stroma-fib,stroma-fib,myCAFs
exp_30995,stroma-fib,stroma-fib,Unknown
exp_30996,stroma-fib,stroma-immune,T cells
exp_30997,stroma-immune,vessel,vessel
exp_30998,tumour,tumour,tumour
